Имя пассажира,Дата рейса,Номер рейса,Номер места
Дементьев Доброслав Власович,2023-11-03,YJ 9679,16B
Дмитриев Никифор Марсович,2023-08-21,SD 2474,16C
Гурьев Эдуард Всеволодович,2023-07-20,QS 7130,18C
Васильев Василий Харлампович,2023-08-01,PC 4390,18D
Григорьев Селиван Матвеевич,2024-03-11,ZU 9876,12A
Исаков Исай Юльевич,2024-02-20,GJ 4103,4A
Власов Станислав Артёмович,2023-05-12,YC 3148,4D
Зиновьев Сигизмунд Харитонович,2023-11-03,XV 6186,16C
Муравьев Дмитрий Феоктистович,2023-05-03,RE 7370,18D
Лобанов Ульян Феодосьевич,2024-03-31,XU 8764,8C
